location,direction,ts,value
Rohanské nábřeží,do centra (náb. L. Svobody),2018-01-10,
Rohanské nábřeží,z centra (Karlín),2018-01-10,
Šeberov,Kunratice,2018-01-10,9.0
Šeberov,Šeberov,2018-01-10,8.0
Lahovičky (Strakonická),do centra (M. Chuchle),2018-01-10,45.0
Lahovičky (Strakonická),z centra (Radotín),2018-01-10,73.0
Krč (Sulická),Lhotka,2018-01-10,69.0
Krč (Sulická),Krč,2018-01-10,74.0
Císařský ostrov,do centra (Stromovka),2018-01-10,140.0
Císařský ostrov,z centra (Trója),2018-01-10,210.0
Stezka okolo Rokytky,O2 Aréna,2018-01-10,47.0
Stezka okolo Rokytky,ul. U Elektry,2018-01-10,72.0
Drážní stezka - Vítkov,Hrdlořezy,2018-01-10,42.0
Drážní stezka - Vítkov,Seifertova,2018-01-10,22.0
Modřany,z centra,2018-01-10,155.0
Modřany,centrum,2018-01-10,154.0
Vršovická,Strašnice,2018-01-10,68.0
Vršovická,Nusle,2018-01-10,69.0
Košíře,centrum,2018-01-10,58.0
Barrandovský most,Barrandovský most,2018-01-11,98.0
Barrandovský most,Zlíchov,2018-01-11,126.0
Chodov,Chodov centrum,2018-01-11,44.0
Chodov,ul. Türkova,2018-01-11,36.0
Celetná,Ovocný trh,2018-01-11,126.0
Celetná,Prašná brána,2018-01-11,116.0
Dukelských hrdinů,centrum,2018-01-11,71.0
Dukelských hrdinů,z centra,2018-01-11,68.0
Elsnicovo náměstí x U Českých loděnic,k Thomayerovým sadům,2018-01-11,31.0
Elsnicovo náměstí x U Českých loděnic,od Thomayerových sadů,2018-01-11,78.0
Hlubočepská,centrum,2018-01-11,66.0
Hlubočepská,Hlubočepy,2018-01-11,78.0
Jeremenkova,Pankrác,2018-01-11,27.0
Jeremenkova,Podolské nábřeží,2018-01-11,60.0
Nábřeží Kapitána Jaroše,Libeň,2018-01-11,86.0
Nábřeží Kapitána Jaroše,Malá Strana,2018-01-11,102.0
Letňany,z centra,2018-01-11,27.0
Letňany,centrum,2018-01-11,29.0
Radotín,Radotín,2018-01-11,31.0
Radotín,Zbraslav,2018-01-11,30.0
Nuselský most,centrum,2018-01-11,73.0
Nuselský most,ul. 5. května,2018-01-11,62.0
Střešovice,do centra,2018-01-11,17.0
Střešovice,z centra,2018-01-11,13.0
Pelléova,Jaselská,2018-01-11,57.0
Pelléova,Milady Horákové,2018-01-11,77.0
Podolské nábřeží - stezka,z centra (Braník),2018-01-11,122.0
Podolské nábřeží - stezka,do centra (Výtoň),2018-01-11,195.0
Podolské nábřeží - vozovka,z centra (Braník),2018-01-11,106.0
Podolské nábřeží - vozovka,do centra (Výtoň),2018-01-11,48.0
Podbabská,ul. Roztocká,2018-01-11,20.0
Podbabská,ul. Jugoslávkých partyzánů,2018-01-11,6.0
Povltavská, ul. Vodácká,2018-01-11,70.0
Povltavská,ZOO,2018-01-11,106.0
Rohanské nábřeží,do centra (náb. L. Svobody),2018-01-11,
Rohanské nábřeží,z centra (Karlín),2018-01-11,
Šeberov,Kunratice,2018-01-11,9.0
Šeberov,Šeberov,2018-01-11,11.0
Lahovičky (Strakonická),do centra (M. Chuchle),2018-01-11,51.0
Lahovičky (Strakonická),z centra (Radotín),2018-01-11,64.0
Krč (Sulická),Lhotka,2018-01-11,71.0
Krč (Sulická),Krč,2018-01-11,82.0
Císařský ostrov,do centra (Stromovka),2018-01-11,159.0
Císařský ostrov,z centra (Trója),2018-01-11,220.0
Stezka okolo Rokytky,O2 Aréna,2018-01-11,52.0
Stezka okolo Rokytky,ul. U Elektry,2018-01-11,72.0
Drážní stezka - Vítkov,Hrdlořezy,2018-01-11,24.0
Drážní stezka - Vítkov,Seifertova,2018-01-11,24.0
Modřany,z centra,2018-01-11,159.0
Modřany,centrum,2018-01-11,159.0
Vršovická,Strašnice,2018-01-11,55.0
Vršovická,Nusle,2018-01-11,70.0
Košíře,centrum,2018-01-11,48.0
Barrandovský most,Barrandovský most,2018-01-12,68.0
Barrandovský most,Zlíchov,2018-01-12,94.0
Chodov,Chodov centrum,2018-01-12,42.0
Chodov,ul. Türkova,2018-01-12,33.0
Celetná,Ovocný trh,2018-01-12,160.0
Celetná,Prašná brána,2018-01-12,148.0
Dukelských hrdinů,centrum,2018-01-12,53.0
Dukelských hrdinů,z centra,2018-01-12,57.0
Elsnicovo náměstí x U Českých loděnic,k Thomayerovým sadům,2018-01-12,38.0
Elsnicovo náměstí x U Českých loděnic,od Thomayerových sadů,2018-01-12,71.0
Hlubočepská,centrum,2018-01-12,53.0
Hlubočepská,Hlubočepy,2018-01-12,51.0
Jeremenkova,Pankrác,2018-01-12,43.0
Jeremenkova,Podolské nábřeží,2018-01-12,54.0
Nábřeží Kapitána Jaroše,Libeň,2018-01-12,67.0
Nábřeží Kapitána Jaroše,Malá Strana,2018-01-12,114.0
Letňany,z centra,2018-01-12,11.0
Letňany,centrum,2018-01-12,20.0
Radotín,Radotín,2018-01-12,36.0
Radotín,Zbraslav,2018-01-12,34.0
Nuselský most,centrum,2018-01-12,72.0
Nuselský most,ul. 5. května,2018-01-12,61.0
Střešovice,do centra,2018-01-12,7.0
Střešovice,z centra,2018-01-12,10.0
Pelléova,Jaselská,2018-01-12,41.0
Pelléova,Milady Horákové,2018-01-12,92.0
Podolské nábřeží - stezka,z centra (Braník),2018-01-12,102.0
Podolské nábřeží - stezka,do centra (Výtoň),2018-01-12,155.0
Podolské nábřeží - vozovka,z centra (Braník),2018-01-12,79.0
Podolské nábřeží - vozovka,do centra (Výtoň),2018-01-12,41.0
Podbabská,ul. Roztocká,2018-01-12,23.0
Podbabská,ul. Jugoslávkých partyzánů,2018-01-12,9.0
Povltavská, ul. Vodácká,2018-01-12,40.0
Povltavská,ZOO,2018-01-12,71.0
Rohanské nábřeží,do centra (náb. L. Svobody),2018-01-12,
Rohanské nábřeží,z centra (Karlín),2018-01-12,
Šeberov,Kunratice,2018-01-12,5.0
Šeberov,Šeberov,2018-01-12,10.0
Lahovičky (Strakonická),do centra (M. Chuchle),2018-01-12,28.0
Lahovičky (Strakonická),z centra (Radotín),2018-01-12,42.0
Krč (Sulická),Lhotka,2018-01-12,54.0
Krč (Sulická),Krč,2018-01-12,40.0
Císařský ostrov,do centra (Stromovka),2018-01-12,135.0
Císařský ostrov,z centra (Trója),2018-01-12,179.0
Stezka okolo Rokytky,O2 Aréna,2018-01-12,40.0
Stezka okolo Rokytky,ul. U Elektry,2018-01-12,43.0
Drážní stezka - Vítkov,Hrdlořezy,2018-01-12,31.0
Drážní stezka - Vítkov,Seifertova,2018-01-12,20.0
Modřany,z centra,2018-01-12,108.0
Modřany,centrum,2018-01-12,99.0
Vršovická,Strašnice,2018-01-12,45.0
Vršovická,Nusle,2018-01-12,50.0
Košíře,centrum,2018-01-12,34.0
Barrandovský most,Barrandovský most,2018-01-13,65.0
Barrandovský most,Zlíchov,2018-01-13,79.0
Chodov,Chodov centrum,2018-01-13,39.0
Chodov,ul. Türkova,2018-01-13,20.0
Celetná,Ovocný trh,2018-01-13,61.0
Celetná,Prašná brána,2018-01-13,56.0
Dukelských hrdinů,centrum,2018-01-13,28.0
Dukelských hrdinů,z centra,2018-01-13,26.0
Elsnicovo náměstí x U Českých loděnic,k Thomayerovým sadům,2018-01-13,32.0
Elsnicovo náměstí x U Českých loděnic,od Thomayerových sadů,2018-01-13,26.0
Hlubočepská,centrum,2018-01-13,48.0
Hlubočepská,Hlubočepy,2018-01-13,44.0
Jeremenkova,Pankrác,2018-01-13,59.0
Jeremenkova,Podolské nábřeží,2018-01-13,33.0
Nábřeží Kapitána Jaroše,Libeň,2018-01-13,25.0
Nábřeží Kapitána Jaroše,Malá Strana,2018-01-13,59.0
Letňany,z centra,2018-01-13,13.0
Letňany,centrum,2018-01-13,17.0
Radotín,Radotín,2018-01-13,29.0
Radotín,Zbraslav,2018-01-13,28.0
Nuselský most,centrum,2018-01-13,17.0
Nuselský most,ul. 5. května,2018-01-13,30.0
Střešovice,do centra,2018-01-13,5.0
Střešovice,z centra,2018-01-13,9.0
Pelléova,Jaselská,2018-01-13,15.0
Pelléova,Milady Horákové,2018-01-13,25.0
Podolské nábřeží - stezka,z centra (Braník),2018-01-13,57.0
Podolské nábřeží - stezka,do centra (Výtoň),2018-01-13,75.0
Podolské nábřeží - vozovka,z centra (Braník),2018-01-13,51.0
Podolské nábřeží - vozovka,do centra (Výtoň),2018-01-13,28.0
Podbabská,ul. Roztocká,2018-01-13,23.0
Podbabská,ul. Jugoslávkých partyzánů,2018-01-13,18.0
Povltavská, ul. Vodácká,2018-01-13,56.0
Povltavská,ZOO,2018-01-13,75.0
Rohanské nábřeží,do centra (náb. L. Svobody),2018-01-13,
Rohanské nábřeží,z centra (Karlín),2018-01-13,
Šeberov,Kunratice,2018-01-13,6.0
Šeberov,Šeberov,2018-01-13,7.0
Lahovičky (Strakonická),do centra (M. Chuchle),2018-01-13,75.0
Lahovičky (Strakonická),z centra (Radotín),2018-01-13,98.0
Krč (Sulická),Lhotka,2018-01-13,42.0
Krč (Sulická),Krč,2018-01-13,44.0
Císařský ostrov,do centra (Stromovka),2018-01-13,88.0
Císařský ostrov,z centra (Trója),2018-01-13,125.0
Stezka okolo Rokytky,O2 Aréna,2018-01-13,46.0
Stezka okolo Rokytky,ul. U Elektry,2018-01-13,46.0
Drážní stezka - Vítkov,Hrdlořezy,2018-01-13,14.0
Drážní stezka - Vítkov,Seifertova,2018-01-13,8.0
Modřany,z centra,2018-01-13,177.0
Modřany,centrum,2018-01-13,189.0
Vršovická,Strašnice,2018-01-13,33.0
Vršovická,Nusle,2018-01-13,32.0
Košíře,centrum,2018-01-13,23.0
Barrandovský most,Barrandovský most,2018-01-14,88.0
Barrandovský most,Zlíchov,2018-01-14,94.0
Chodov,Chodov centrum,2018-01-14,36.0
Chodov,ul. Türkova,2018-01-14,29.0
Celetná,Ovocný trh,2018-01-14,39.0
Celetná,Prašná brána,2018-01-14,43.0
Dukelských hrdinů,centrum,2018-01-14,28.0
Dukelských hrdinů,z centra,2018-01-14,22.0
Elsnicovo náměstí x U Českých loděnic,k Thomayerovým sadům,2018-01-14,24.0
Elsnicovo náměstí x U Českých loděnic,od Thomayerových sadů,2018-01-14,26.0
Hlubočepská,centrum,2018-01-14,65.0
Hlubočepská,Hlubočepy,2018-01-14,41.0
Jeremenkova,Pankrác,2018-01-14,43.0
Jeremenkova,Podolské nábřeží,2018-01-14,26.0
Nábřeží Kapitána Jaroše,Libeň,2018-01-14,17.0
Nábřeží Kapitána Jaroše,Malá Strana,2018-01-14,37.0
Letňany,z centra,2018-01-14,21.0
Letňany,centrum,2018-01-14,22.0
Radotín,Radotín,2018-01-14,30.0
Radotín,Zbraslav,2018-01-14,20.0
Nuselský most,centrum,2018-01-14,27.0
Nuselský most,ul. 5. května,2018-01-14,14.0
Střešovice,do centra,2018-01-14,5.0
Střešovice,z centra,2018-01-14,5.0
Pelléova,Jaselská,2018-01-14,11.0
Pelléova,Milady Horákové,2018-01-14,34.0
Podolské nábřeží - stezka,z centra (Braník),2018-01-14,53.0
Podolské nábřeží - stezka,do centra (Výtoň),2018-01-14,75.0
Podolské nábřeží - vozovka,z centra (Braník),2018-01-14,55.0
Podolské nábřeží - vozovka,do centra (Výtoň),2018-01-14,32.0
Podbabská,ul. Roztocká,2018-01-14,12.0
Podbabská,ul. Jugoslávkých partyzánů,2018-01-14,19.0
Povltavská, ul. Vodácká,2018-01-14,98.0
Povltavská,ZOO,2018-01-14,108.0
Rohanské nábřeží,do centra (náb. L. Svobody),2018-01-14,
Rohanské nábřeží,z centra (Karlín),2018-01-14,
Šeberov,Kunratice,2018-01-14,9.0
Šeberov,Šeberov,2018-01-14,10.0
Lahovičky (Strakonická),do centra (M. Chuchle),2018-01-14,56.0
Lahovičky (Strakonická),z centra (Radotín),2018-01-14,80.0
Krč (Sulická),Lhotka,2018-01-14,49.0
Krč (Sulická),Krč,2018-01-14,44.0
Císařský ostrov,do centra (Stromovka),2018-01-14,26.0
Císařský ostrov,z centra (Trója),2018-01-14,22.0
Stezka okolo Rokytky,O2 Aréna,2018-01-14,23.0
Stezka okolo Rokytky,ul. U Elektry,2018-01-14,37.0
Drážní stezka - Vítkov,Hrdlořezy,2018-01-14,20.0
Drážní stezka - Vítkov,Seifertova,2018-01-14,24.0
Modřany,z centra,2018-01-14,170.0
Modřany,centrum,2018-01-14,171.0
Vršovická,Strašnice,2018-01-14,26.0
Vršovická,Nusle,2018-01-14,35.0
Košíře,centrum,2018-01-14,12.0
Barrandovský most,Barrandovský most,2018-01-15,88.0
Barrandovský most,Zlíchov,2018-01-15,102.0
Chodov,Chodov centrum,2018-01-15,40.0
Chodov,ul. Türkova,2018-01-15,30.0
Celetná,Ovocný trh,2018-01-15,119.0
Celetná,Prašná brána,2018-01-15,123.0
Dukelských hrdinů,centrum,2018-01-15,46.0
Dukelských hrdinů,z centra,2018-01-15,74.0
Elsnicovo náměstí x U Českých loděnic,k Thomayerovým sadům,2018-01-15,47.0
Elsnicovo náměstí x U Českých loděnic,od Thomayerových sadů,2018-01-15,55.0
Hlubočepská,centrum,2018-01-15,65.0
Hlubočepská,Hlubočepy,2018-01-15,67.0
Jeremenkova,Pankrác,2018-01-15,37.0
Jeremenkova,Podolské nábřeží,2018-01-15,32.0
Nábřeží Kapitána Jaroše,Libeň,2018-01-15,43.0
Nábřeží Kapitána Jaroše,Malá Strana,2018-01-15,68.0
Letňany,z centra,2018-01-15,26.0
Letňany,centrum,2018-01-15,35.0
Radotín,Radotín,2018-01-15,32.0
Radotín,Zbraslav,2018-01-15,26.0
Nuselský most,centrum,2018-01-15,61.0
Nuselský most,ul. 5. května,2018-01-15,44.0
Střešovice,do centra,2018-01-15,9.0
Střešovice,z centra,2018-01-15,8.0
Pelléova,Jaselská,2018-01-15,52.0
Pelléova,Milady Horákové,2018-01-15,56.0
Podolské nábřeží - stezka,z centra (Braník),2018-01-15,124.0
Podolské nábřeží - stezka,do centra (Výtoň),2018-01-15,171.0
Podolské nábřeží - vozovka,z centra (Braník),2018-01-15,74.0
Podolské nábřeží - vozovka,do centra (Výtoň),2018-01-15,31.0
Podbabská,ul. Roztocká,2018-01-15,17.0
Podbabská,ul. Jugoslávkých partyzánů,2018-01-15,9.0
Povltavská, ul. Vodácká,2018-01-15,49.0
Povltavská,ZOO,2018-01-15,60.0
Rohanské nábřeží,do centra (náb. L. Svobody),2018-01-15,
Rohanské nábřeží,z centra (Karlín),2018-01-15,
Šeberov,Kunratice,2018-01-15,6.0
Šeberov,Šeberov,2018-01-15,9.0
Lahovičky (Strakonická),do centra (M. Chuchle),2018-01-15,34.0
Lahovičky (Strakonická),z centra (Radotín),2018-01-15,50.0
Krč (Sulická),Lhotka,2018-01-15,54.0
Krč (Sulická),Krč,2018-01-15,52.0
Císařský ostrov,do centra (Stromovka),2018-01-15,164.0
Císařský ostrov,z centra (Trója),2018-01-15,230.0
Stezka okolo Rokytky,O2 Aréna,2018-01-15,40.0
Stezka okolo Rokytky,ul. U Elektry,2018-01-15,56.0
Drážní stezka - Vítkov,Hrdlořezy,2018-01-15,22.0
Drážní stezka - Vítkov,Seifertova,2018-01-15,25.0
Modřany,z centra,2018-01-15,80.0
Modřany,centrum,2018-01-15,94.0
Vršovická,Strašnice,2018-01-15,50.0
Vršovická,Nusle,2018-01-15,67.0
Košíře,centrum,2018-01-15,32.0
Barrandovský most,Barrandovský most,2018-01-16,38.0
Barrandovský most,Zlíchov,2018-01-16,47.0
Chodov,Chodov centrum,2018-01-16,23.0
Chodov,ul. Türkova,2018-01-16,26.0
Celetná,Ovocný trh,2018-01-16,110.0
Celetná,Prašná brána,2018-01-16,106.0
Dukelských hrdinů,centrum,2018-01-16,44.0
Dukelských hrdinů,z centra,2018-01-16,49.0
Elsnicovo náměstí x U Českých loděnic,k Thomayerovým sadům,2018-01-16,39.0
Elsnicovo náměstí x U Českých loděnic,od Thomayerových sadů,2018-01-16,40.0
Hlubočepská,centrum,2018-01-16,24.0
Hlubočepská,Hlubočepy,2018-01-16,25.0
Jeremenkova,Pankrác,2018-01-16,15.0
Jeremenkova,Podolské nábřeží,2018-01-16,12.0
Nábřeží Kapitána Jaroše,Libeň,2018-01-16,43.0
Nábřeží Kapitána Jaroše,Malá Strana,2018-01-16,64.0
Letňany,z centra,2018-01-16,21.0
Letňany,centrum,2018-01-16,14.0
Radotín,Radotín,2018-01-16,21.0
Radotín,Zbraslav,2018-01-16,20.0
Nuselský most,centrum,2018-01-16,52.0
Nuselský most,ul. 5. května,2018-01-16,44.0
Střešovice,do centra,2018-01-16,4.0
Střešovice,z centra,2018-01-16,6.0
Pelléova,Jaselská,2018-01-16,48.0
Pelléova,Milady Horákové,2018-01-16,53.0
Podolské nábřeží - stezka,z centra (Braník),2018-01-16,61.0
Podolské nábřeží - stezka,do centra (Výtoň),2018-01-16,85.0
Podolské nábřeží - vozovka,z centra (Braník),2018-01-16,36.0
Podolské nábřeží - vozovka,do centra (Výtoň),2018-01-16,27.0
Podbabská,ul. Roztocká,2018-01-16,7.0
Podbabská,ul. Jugoslávkých partyzánů,2018-01-16,10.0
Povltavská, ul. Vodácká,2018-01-16,21.0
Povltavská,ZOO,2018-01-16,29.0
Rohanské nábřeží,do centra (náb. L. Svobody),2018-01-16,
Rohanské nábřeží,z centra (Karlín),2018-01-16,
Šeberov,Kunratice,2018-01-16,9.0
Šeberov,Šeberov,2018-01-16,8.0
Lahovičky (Strakonická),do centra (M. Chuchle),2018-01-16,10.0
Lahovičky (Strakonická),z centra (Radotín),2018-01-16,14.0
Krč (Sulická),Lhotka,2018-01-16,23.0
Krč (Sulická),Krč,2018-01-16,24.0
Císařský ostrov,do centra (Stromovka),2018-01-16,162.0
Císařský ostrov,z centra (Trója),2018-01-16,164.0
Stezka okolo Rokytky,O2 Aréna,2018-01-16,22.0
Stezka okolo Rokytky,ul. U Elektry,2018-01-16,26.0
Drážní stezka - Vítkov,Hrdlořezy,2018-01-16,15.0
Drážní stezka - Vítkov,Seifertova,2018-01-16,10.0
Modřany,z centra,2018-01-16,28.0
Modřany,centrum,2018-01-16,30.0
Vršovická,Strašnice,2018-01-16,36.0
Vršovická,Nusle,2018-01-16,36.0
Košíře,centrum,2018-01-16,24.0
Barrandovský most,Barrandovský most,2018-01-17,51.0
Barrandovský most,Zlíchov,2018-01-17,72.0
Chodov,Chodov centrum,2018-01-17,32.0
Chodov,ul. Türkova,2018-01-17,20.0
Celetná,Ovocný trh,2018-01-17,111.0
Celetná,Prašná brána,2018-01-17,109.0
Dukelských hrdinů,centrum,2018-01-17,54.0
Dukelských hrdinů,z centra,2018-01-17,68.0
Elsnicovo náměstí x U Českých loděnic,k Thomayerovým sadům,2018-01-17,54.0
Elsnicovo náměstí x U Českých loděnic,od Thomayerových sadů,2018-01-17,39.0
Hlubočepská,centrum,2018-01-17,39.0
Hlubočepská,Hlubočepy,2018-01-17,36.0
Jeremenkova,Pankrác,2018-01-17,78.0
Jeremenkova,Podolské nábřeží,2018-01-17,32.0
Nábřeží Kapitána Jaroše,Libeň,2018-01-17,68.0
Nábřeží Kapitána Jaroše,Malá Strana,2018-01-17,69.0
Letňany,z centra,2018-01-17,17.0
Letňany,centrum,2018-01-17,14.0
Radotín,Radotín,2018-01-17,15.0
Radotín,Zbraslav,2018-01-17,20.0
Nuselský most,centrum,2018-01-17,57.0
Nuselský most,ul. 5. května,2018-01-17,59.0
Střešovice,do centra,2018-01-17,8.0
Střešovice,z centra,2018-01-17,10.0
Pelléova,Jaselská,2018-01-17,45.0
Pelléova,Milady Horákové,2018-01-17,87.0
Podolské nábřeží - stezka,z centra (Braník),2018-01-17,68.0
Podolské nábřeží - stezka,do centra (Výtoň),2018-01-17,93.0
Podolské nábřeží - vozovka,z centra (Braník),2018-01-17,51.0
Podolské nábřeží - vozovka,do centra (Výtoň),2018-01-17,27.0
Podbabská,ul. Roztocká,2018-01-17,15.0
Podbabská,ul. Jugoslávkých partyzánů,2018-01-17,11.0
Povltavská, ul. Vodácká,2018-01-17,29.0
Povltavská,ZOO,2018-01-17,52.0
Rohanské nábřeží,do centra (náb. L. Svobody),2018-01-17,
Rohanské nábřeží,z centra (Karlín),2018-01-17,
Šeberov,Kunratice,2018-01-17,15.0
Šeberov,Šeberov,2018-01-17,13.0
Lahovičky (Strakonická),do centra (M. Chuchle),2018-01-17,18.0
Lahovičky (Strakonická),z centra (Radotín),2018-01-17,24.0
Krč (Sulická),Lhotka,2018-01-17,27.0
Krč (Sulická),Krč,2018-01-17,39.0
Císařský ostrov,do centra (Stromovka),2018-01-17,157.0
Císařský ostrov,z centra (Trója),2018-01-17,173.0
Stezka okolo Rokytky,O2 Aréna,2018-01-17,31.0
Stezka okolo Rokytky,ul. U Elektry,2018-01-17,42.0
Drážní stezka - Vítkov,Hrdlořezy,2018-01-17,30.0
Drážní stezka - Vítkov,Seifertova,2018-01-17,17.0
Modřany,z centra,2018-01-17,49.0
Modřany,centrum,2018-01-17,48.0
Vršovická,Strašnice,2018-01-17,48.0
Vršovická,Nusle,2018-01-17,40.0
Košíře,centrum,2018-01-17,30.0
Barrandovský most,Barrandovský most,2018-01-18,35.0
Barrandovský most,Zlíchov,2018-01-18,40.0
Chodov,Chodov centrum,2018-01-18,22.0
Chodov,ul. Türkova,2018-01-18,22.0
Celetná,Ovocný trh,2018-01-18,95.0
Celetná,Prašná brána,2018-01-18,93.0
Dukelských hrdinů,centrum,2018-01-18,52.0
Dukelských hrdinů,z centra,2018-01-18,51.0
Elsnicovo náměstí x U Českých loděnic,k Thomayerovým sadům,2018-01-18,0.0
Elsnicovo náměstí x U Českých loděnic,od Thomayerových sadů,2018-01-18,0.0
Hlubočepská,centrum,2018-01-18,26.0
Hlubočepská,Hlubočepy,2018-01-18,23.0
Jeremenkova,Pankrác,2018-01-18,28.0
Jeremenkova,Podolské nábřeží,2018-01-18,15.0
Nábřeží Kapitána Jaroše,Libeň,2018-01-18,45.0
Nábřeží Kapitána Jaroše,Malá Strana,2018-01-18,49.0
Letňany,z centra,2018-01-18,17.0
Letňany,centrum,2018-01-18,16.0
Radotín,Radotín,2018-01-18,19.0
Radotín,Zbraslav,2018-01-18,18.0
Nuselský most,centrum,2018-01-18,55.0
Nuselský most,ul. 5. května,2018-01-18,46.0
Střešovice,do centra,2018-01-18,6.0
Střešovice,z centra,2018-01-18,6.0
Pelléova,Jaselská,2018-01-18,31.0
Pelléova,Milady Horákové,2018-01-18,32.0
Podolské nábřeží - stezka,z centra (Braník),2018-01-18,79.0
Podolské nábřeží - stezka,do centra (Výtoň),2018-01-18,99.0
Podolské nábřeží - vozovka,z centra (Braník),2018-01-18,35.0
Podolské nábřeží - vozovka,do centra (Výtoň),2018-01-18,32.0
Podbabská,ul. Roztocká,2018-01-18,7.0
Podbabská,ul. Jugoslávkých partyzánů,2018-01-18,6.0
Povltavská, ul. Vodácká,2018-01-18,27.0
Povltavská,ZOO,2018-01-18,40.0
Rohanské nábřeží,do centra (náb. L. Svobody),2018-01-18,
Rohanské nábřeží,z centra (Karlín),2018-01-18,
Šeberov,Kunratice,2018-01-18,5.0
Šeberov,Šeberov,2018-01-18,7.0
Lahovičky (Strakonická),do centra (M. Chuchle),2018-01-18,12.0
Lahovičky (Strakonická),z centra (Radotín),2018-01-18,19.0
Krč (Sulická),Lhotka,2018-01-18,23.0
Krč (Sulická),Krč,2018-01-18,17.0
Císařský ostrov,do centra (Stromovka),2018-01-18,134.0
Císařský ostrov,z centra (Trója),2018-01-18,180.0
Stezka okolo Rokytky,O2 Aréna,2018-01-18,17.0
Stezka okolo Rokytky,ul. U Elektry,2018-01-18,27.0
Drážní stezka - Vítkov,Hrdlořezy,2018-01-18,20.0
Drážní stezka - Vítkov,Seifertova,2018-01-18,15.0
Modřany,z centra,2018-01-18,20.0
Modřany,centrum,2018-01-18,31.0
Vršovická,Strašnice,2018-01-18,39.0
Vršovická,Nusle,2018-01-18,26.0
Košíře,centrum,2018-01-18,17.0
Barrandovský most,Barrandovský most,2018-01-19,41.0
Barrandovský most,Zlíchov,2018-01-19,48.0
Chodov,Chodov centrum,2018-01-19,29.0
Chodov,ul. Türkova,2018-01-19,21.0
Celetná,Ovocný trh,2018-01-19,116.0
Celetná,Prašná brána,2018-01-19,111.0
