location,direction,ts,value
Stezka okolo Rokytky,ul. U Elektry,2018-01-08,53.0
Drážní stezka - Vítkov,Hrdlořezy,2018-01-08,21.0
Drážní stezka - Vítkov,Seifertova,2018-01-08,16.0
Modřany,z centra,2018-01-08,107.0
Modřany,centrum,2018-01-08,103.0
Vršovická,Strašnice,2018-01-08,51.0
Vršovická,Nusle,2018-01-08,59.0
Košíře,centrum,2018-01-08,47.0
Barrandovský most,Barrandovský most,2018-01-09,155.0
Barrandovský most,Zlíchov,2018-01-09,194.0
Chodov,Chodov centrum,2018-01-09,64.0
Chodov,ul. Türkova,2018-01-09,47.0
Celetná,Ovocný trh,2018-01-09,128.0
Celetná,Prašná brána,2018-01-09,111.0
Dukelských hrdinů,centrum,2018-01-09,75.0
Dukelských hrdinů,z centra,2018-01-09,82.0
Elsnicovo náměstí x U Českých loděnic,k Thomayerovým sadům,2018-01-09,50.0
Elsnicovo náměstí x U Českých loděnic,od Thomayerových sadů,2018-01-09,80.0
Hlubočepská,centrum,2018-01-09,118.0
Hlubočepská,Hlubočepy,2018-01-09,114.0
Jeremenkova,Pankrác,2018-01-09,76.0
Jeremenkova,Podolské nábřeží,2018-01-09,51.0
Nábřeží Kapitána Jaroše,Libeň,2018-01-09,76.0
Nábřeží Kapitána Jaroše,Malá Strana,2018-01-09,81.0
Letňany,z centra,2018-01-09,33.0
Letňany,centrum,2018-01-09,47.0
Radotín,Radotín,2018-01-09,47.0
Radotín,Zbraslav,2018-01-09,44.0
Nuselský most,centrum,2018-01-09,75.0
Nuselský most,ul. 5. května,2018-01-09,69.0
Střešovice,do centra,2018-01-09,18.0
Střešovice,z centra,2018-01-09,14.0
Pelléova,Jaselská,2018-01-09,58.0
Pelléova,Milady Horákové,2018-01-09,71.0
Podolské nábřeží - stezka,z centra (Braník),2018-01-09,164.0
Podolské nábřeží - stezka,do centra (Výtoň),2018-01-09,243.0
Podolské nábřeží - vozovka,z centra (Braník),2018-01-09,143.0
Podolské nábřeží - vozovka,do centra (Výtoň),2018-01-09,60.0
Podbabská,ul. Roztocká,2018-01-09,18.0
Podbabská,ul. Jugoslávkých partyzánů,2018-01-09,14.0
Povltavská, ul. Vodácká,2018-01-09,116.0
Povltavská,ZOO,2018-01-09,156.0
Rohanské nábřeží,do centra (náb. L. Svobody),2018-01-09,
Rohanské nábřeží,z centra (Karlín),2018-01-09,
Šeberov,Kunratice,2018-01-09,22.0
Šeberov,Šeberov,2018-01-09,19.0
Lahovičky (Strakonická),do centra (M. Chuchle),2018-01-09,82.0
Lahovičky (Strakonická),z centra (Radotín),2018-01-09,111.0
Krč (Sulická),Lhotka,2018-01-09,104.0
Krč (Sulická),Krč,2018-01-09,94.0
Císařský ostrov,do centra (Stromovka),2018-01-09,0.0
Císařský ostrov,z centra (Trója),2018-01-09,0.0
Stezka okolo Rokytky,O2 Aréna,2018-01-09,60.0
Stezka okolo Rokytky,ul. U Elektry,2018-01-09,89.0
Drážní stezka - Vítkov,Hrdlořezy,2018-01-09,31.0
Drážní stezka - Vítkov,Seifertova,2018-01-09,39.0
Modřany,z centra,2018-01-09,247.0
Modřany,centrum,2018-01-09,270.0
Vršovická,Strašnice,2018-01-09,66.0
Vršovická,Nusle,2018-01-09,77.0
Košíře,centrum,2018-01-09,53.0
Barrandovský most,Barrandovský most,2018-01-10,135.0
Barrandovský most,Zlíchov,2018-01-10,161.0
Chodov,Chodov centrum,2018-01-10,44.0
Chodov,ul. Türkova,2018-01-10,31.0
Celetná,Ovocný trh,2018-01-10,130.0
Celetná,Prašná brána,2018-01-10,118.0
Dukelských hrdinů,centrum,2018-01-10,75.0
Dukelských hrdinů,z centra,2018-01-10,86.0
Elsnicovo náměstí x U Českých loděnic,k Thomayerovým sadům,2018-01-10,27.0
Elsnicovo náměstí x U Českých loděnic,od Thomayerových sadů,2018-01-10,115.0
Hlubočepská,centrum,2018-01-10,82.0
Hlubočepská,Hlubočepy,2018-01-10,90.0
Jeremenkova,Pankrác,2018-01-10,35.0
Jeremenkova,Podolské nábřeží,2018-01-10,57.0
Nábřeží Kapitána Jaroše,Libeň,2018-01-10,93.0
Nábřeží Kapitána Jaroše,Malá Strana,2018-01-10,119.0
Letňany,z centra,2018-01-10,36.0
Letňany,centrum,2018-01-10,31.0
Radotín,Radotín,2018-01-10,37.0
Radotín,Zbraslav,2018-01-10,28.0
Nuselský most,centrum,2018-01-10,82.0
Nuselský most,ul. 5. května,2018-01-10,64.0
Střešovice,do centra,2018-01-10,18.0
Střešovice,z centra,2018-01-10,16.0
Pelléova,Jaselská,2018-01-10,56.0
Pelléova,Milady Horákové,2018-01-10,74.0
Podolské nábřeží - stezka,z centra (Braník),2018-01-10,140.0
Podolské nábřeží - stezka,do centra (Výtoň),2018-01-10,209.0
Podolské nábřeží - vozovka,z centra (Braník),2018-01-10,126.0
Podolské nábřeží - vozovka,do centra (Výtoň),2018-01-10,60.0
Podbabská,ul. Roztocká,2018-01-10,21.0
Podbabská,ul. Jugoslávkých partyzánů,2018-01-10,18.0
Povltavská, ul. Vodácká,2018-01-10,65.0
Povltavská,ZOO,2018-01-10,96.0
